district,address,description,landlord,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
Mitte,"Torstraße 101, Mitte (Ortsteil), Berlin",Traumhafte Altbauwohnung,Estate agent,3000,92.85,3,1,0,0,0,0,,0,0
Mahlsdorf,"Mahlsdorf, Berlin","HOCHMODERNES, MÖBLIERTES WOHNEN IM GRÜNEN",Estate agent,2600,111,3,1,0,0,0,0,,0,0
Wilmersdorf,"Wilmersdorf, Berlin",ELEGANTE WOHNUNG IN WILMERSDORF,Estate agent,3000,106,3,1,1,0,0,0,,0,0
Hakenfelde,"Pembabogen 25, Hakenfelde, Berlin",WUNDERSCHÖNE PENTHOUSE-WOHNUNG MIT DACHTERRASSE UND BLICK AUF DIE HAVEL! ERSTBEZUG! EFFIZIENZHAUS 55,Estate agent,3078.5,131,4,0,0,0,0,1,,0,0
Friedenau,"Friedenau, Berlin",Wunderschöne sanierte 3 Zimmerwohnung - mit Stellplatz,Estate agent,2350,87,3,1,0,0,0,0,,0,0
Schöneberg,"Hauptstraße 151, Schöneberg, Berlin",Furnished 4 rooms apartment with Office in Charlottenburg  (Berlin),Estate agent,3667,92,4,1,0,0,1,0,,0,0
Köpenick,"Köpenick, Berlin",Elegante DG-Wohnung mit großer Dachterrasse,Estate agent,3501,145.8,4,0,1,0,0,0,,0,0
Mariendorf,"Mariendorf, Berlin",SONNIGE KFW-WOHNUNG MIT GUTER ANBINDUNG,Estate agent,3150,112,4,1,1,0,0,0,,0,0
Reinickendorf,"Werftendensteig 4a, Reinickendorf (Ortsteil), Berlin",2 Zimmer DG Wohnung im 3. OG sofort zu beziehen,Estate agent,1770.05,90.78,2,0,1,0,0,0,,0,0
Moabit,"Hedwig-Porschütz-Straße 32, Moabit, Berlin",Co-Living - THE HOUSE OF CO - Erstbezug Apartment,Booking House of Co,1190,30,1,0,1,0,0,0,,0,0
Moabit,"Hedwig-Porschütz-Straße 32, Moabit, Berlin",Co-Living - THE HOUSE OF CO - Erstbezug Apartment,Booking House of Co,1099,30,1,1,0,0,0,0,,0,0
Moabit,"Hedwig-Porschütz-Straße 32, Moabit, Berlin",Co-Living - THE HOUSE OF CO - Erstbezug Apartment,Booking House of Co,1099,30,1,1,0,0,0,0,,0,0
Rahnsdorf,"Rahnsdorf, Berlin","RIVERSIDE - mit Wasserblick, direktem Wasserzugang und Südbalkon",Estate agent,1704,80.37,3,1,0,0,0,0,,0,0
Rahnsdorf,"Abendseglersteig 73, Rahnsdorf, Berlin","Dämeritzer-Ufer - 3,5 Zimmer im Dachgeschoss mit 42 qm Terrasse",Estate agent,2094,98.43,3.5,1,0,0,0,0,,0,0
Altglienicke,"Teutonenstraße 3, Altglienicke, Berlin","Zaunkönige - 4 Zimmer mit Pakett, EBK und Balkon im Erstbezug.... befristet bis 30.07.2024",Estate agent,2250,100.71,4,0,0,0,0,0,,0,0
Schmargendorf,"Karlsbader Straße 16, Schmargendorf, Berlin",3-Zimmer-Appartment mit Extra-Service!,Estate agent,4483.62,85.57,3,1,0,0,0,0,,0,0
Schmargendorf,"Karlsbader Straße 16, Schmargendorf, Berlin",1-Zimmer-Appartment mit Extra-Service!,Estate agent,2548.1,35.67,1,1,0,0,0,0,,0,0
Prenzlauer Berg,"Prenzlauer Berg, Berlin",Eberswalder.35 - Möbliertes wohnen auf Zeit,Estate agent,10500,190,4,1,0,0,0,0,,0,0
Wilmersdorf,"Wilmersdorf, Berlin",Wittelsbacher.15 - Möbliertes wohnen auf Zeit,Estate agent,5500,113,3,1,0,0,0,1,,0,0
Mitte,"Cora-Berliner-Straße 2-4, Mitte (Ortsteil), Berlin",B.PLACE - Best Location – Wohnen am Park der Metropole,Estate agent,3423.2,60,2,1,0,0,0,0,,0,0
Friedrichshain,"Friedrichshain, Berlin",Moderne 2-Zimmer-Wohnung nahe der East-Side-Gallery,Estate agent,2250,100.25,2,1,0,0,0,0,,0,0
Prenzlauer Berg,"Prenzlauer Berg, Berlin",Einzigartige Altbau-Dachgeschosswohnung in Top-Lage,Estate agent,3974,126.2,3,1,0,0,0,0,,0,0
Friedrichshain,"Friedrichshain, Berlin",900 € - 36.34 m² - 1.0 Zi.,Private offer,900,36.34,1,0,0,0,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin",SCHÖNE MÖBLIERTE  2-ZIMMER-WOHNUNG MIT BLICK AUF DIE SPREE IN HERTZEN BERLINS,Private offer,1416.19,60.2,2,1,0,0,0,0,,0,0
Schöneberg,"Martin Luther Str. 84, Schöneberg, Berlin",4 Jahre befristet - Großzügiger Altbau in zentraler Schöneberg Lage - Anfragen bitte schriftlich,Private offer,1853,150.81,5,1,0,0,0,0,,0,0
Wilmersdorf,"Wilmersdorf, Berlin",Wohnen in Kudamm Nähe - Große und helle 3 Zimmerwohnung,Estate agent,3074,116,3,1,0,0,0,0,,0,0
Charlottenburg,"Philippistraße 8, Charlottenburg, Berlin",Sonnige Vier-Zimmer-Altbauwohnung.,Private offer,1592,105.32,4,1,0,0,0,0,,0,0
Heinersdorf,"Treskowstr. 21, Heinersdorf, Berlin",Exklusive voll möblierte 1- Zimmer-Neubauwohnung in Pankow: Modernes Wohnen,Private offer,1500,34,1,1,0,0,0,0,,0,0
Tempelhof,"Werner-Voß-Damm -, Tempelhof, Berlin","Teilmöbliert Wohnung, Berlin Südkreuz Bhf",Private offer,2090,90,3,0,1,0,0,0,,0,0
Kreuzberg,"Kreuzberg, Berlin",Rooftop 71m² Terrace Furnished - Bergmannkiez - Dachwohnung 75m² Terrasse Möbliert,Estate agent,2250,71,2,1,0,0,0,0,,0,0
Steglitz,"Rothenburgstraße 44, Steglitz, Berlin","Beeindruckendes Dachgeschoss, 5 Zimmer, 2 Bäder, 2 Terrassen!",Estate agent,2250,113,5,0,0,0,0,0,,0,0
Steglitz,"Steglitz, Berlin","Helle und Moderne 3-Zimmer Wohnung ""möbliert"" in Steglitz",Private offer,2200,90,3,1,0,0,0,0,,0,0
Mitte,"Albrechtstraße -, Mitte (Ortsteil), Berlin","Stilvolle, geräumige, modernisierte 3-Zi.Whg. mit Balkon, EBK, Aufzug in Toplage. Befristet auf 3 J.",Private offer,2576,116,3,1,0,0,0,0,,0,0
Gesundbrunnen,"Voltastraße 36, Gesundbrunnen, Berlin",Helles 3-Zimmer-Wohnung im 5.OG Berlin neben der Volkspark Humboldthain,Private offer,2900,132,3,1,0,0,0,0,,0,0
Schöneberg,"Ansbacher Str. 11, Schöneberg, Berlin",DG-Wohnung nahe Wittenbergplatz mit 2 Schlafzimmern,Private offer,2885,110,3,1,0,0,0,0,,0,0
Charlottenburg,"Dernburgstraße 26, Charlottenburg, Berlin",Helles 4-Zimmer-Penthouse über 2 Ebenen,Private offer,3350,130,4,1,0,0,0,0,,0,0
Moabit,"Heidestraße 20, Moabit, Berlin",Co-Living - THE HOUSE OF CO - Erstbezug Apartment,Booking House of Co,1049,27,1,1,1,0,0,0,,0,0
Moabit,"Hedwig-Porschütz-Straße 32, Moabit, Berlin",THE HOUSE OF CO - Stylische Apartments,Booking House of Co,1340,30,1,0,1,0,1,0,,0,0
Moabit,"Heidestraße 20, Moabit, Berlin",THE HOUSE OF CO - Erstbezug Apartment,Booking House of Co,1240,30,1,0,1,0,0,0,,0,0
Charlottenburg,"Meinekestraße  23, Charlottenburg, Berlin",Maisonette für Sie?,Estate agent,3532.3,172.51,4,1,0,0,0,0,,0,0
Grunewald,"Koenigsallee 19a, Grunewald, Berlin",**Schöne Maisonette für SIE im Grünen**,Estate agent,4111.19,206.77,3,1,0,0,0,0,,0,0
Charlottenburg,"Bismarckstraße 70, Charlottenburg, Berlin",Möblierte 4-Zimmer-Altbauwohnung - Mietdauer etwa 2 Jahren - ab 01.04.2023,Estate agent,2690,130,4,0,0,0,0,0,,0,0
Prenzlauer Berg,"Fehrbelliner 14, Prenzlauer Berg, Berlin",Designer Apartment by Grapht Architects am Teutoburger Platz,Estate agent,3550,83,3,1,0,0,0,0,,0,0
