district,address,description,landlord,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
Marienfelde,"Malteserstraße 18 EG-SOU, Marienfelde, Berlin",Maisonette mit EBK und Balkon in Tempelhof-Schöneberg,Estate agent,2781,122,4,0,0,0,0,0,,0,0
Oberschöneweide,"Rathenaustraße WG 01-HH-WG-5-Zimmer 4, Oberschöneweide, Berlin",Vollständig eingerichtetes Privatzimmer mit Terrasse in einer 5er gemischten WG,Estate agent,782,19.7,1,0,0,0,0,0,,0,0
Köpenick,"Lindenstraße WE 99, Köpenick, Berlin",Vollständig möbliertes Studioappartement in Köpenick,Estate agent,1295,36,1,0,0,0,0,0,,0,0
Köpenick,"Lindenstraße WE 100, Köpenick, Berlin",Vollständig möbiliertes Studioappartement in Köpenick,Estate agent,1158,32,1,0,0,0,0,0,,0,0
Lichtenberg,"Allee der Kosmonauten 03.10.02, Lichtenberg (Ortsteil), Berlin","Neubau mit EBK, Aufzug und Balkon 1 Zimmer möbliertes Studio",Estate agent,1172,33.6,1,0,0,0,0,0,,0,0
Köpenick,"Bahnhofstraße 2 OG (Room 3), Köpenick, Berlin",Privat möbliertes Zimmer in einer WG in Köpenick,Estate agent,799,25,1,0,0,0,0,0,,0,0
Köpenick,"Lindenstraße WE 108, Köpenick, Berlin",Vollständig möbiliertes Studioappartement in Köpenick,Estate agent,1137,29,1,0,0,0,0,0,,0,0
Marienfelde,"Malteserstraße 14 EG-SOU, Marienfelde, Berlin",Unmöblierte 2-Zimmer-Wohnung mit Balkon in Tempelhof-Schöneberg.,Estate agent,1399,60,2,0,0,0,0,0,,0,0
Köpenick,"Lindenstraße WE 59, Köpenick, Berlin",Vollständig möbiliertes Studioappartement in Köpenick,Estate agent,1169,33,1,0,0,0,0,0,,0,0
Moabit,"Lehrter Straße 81, Moabit, Berlin","Möblierte 2 Zimmer Wohnung, Fitnessraum & Concierge - Mitte",Estate agent,2147,47.48,2,0,0,0,0,0,,0,0
Marienfelde,"Malteserstraße 56 2OG, Marienfelde, Berlin",Unmöblierte 2 Zi-Wohnung mit Balkon in Tempelhof-Schöneberg,Estate agent,1662,63,2,0,0,0,0,0,,0,0
Lichtenberg,"Allee der Kosmonauten 7.08, Lichtenberg (Ortsteil), Berlin","Neubau mit EBK, Aufzug und Balkon 1 Zimmer Studio",Estate agent,960,29.7,1,0,0,0,0,0,,0,0
Oberschöneweide,"Rathenaustraße WG 04-HH-WG-5-Zimmer 5, Oberschöneweide, Berlin",Vollständig eingerichtetes Privatzimmer in einer 5er gemischten WG,Estate agent,742,17.6,1,0,0,0,0,0,,0,0
Oberschöneweide,"Rathenaustraße WG 04-HH-WG-5-Zimmer 3, Oberschöneweide, Berlin",Vollständig eingerichtetes Privatzimmer mit Balkon in einer 5er gemischtes WG,Estate agent,762,17.7,1,0,0,0,0,0,,0,0
Oberschöneweide,"Rathenaustraße WG 04-HH-WG-5-Zimmer 4, Oberschöneweide, Berlin",Vollständig eingerichtetes Privatzimmer in einer 5er gemischtes WG,Estate agent,745,17.6,1,0,0,0,0,0,,0,0
Marienfelde,"Malteserstraße 51 (2OG), Marienfelde, Berlin",Unmöbliert Studio mit EBK und Balkon in Tempelhof-Schöneberg,Estate agent,926,30,1,0,0,0,0,0,,0,0
Oberschöneweide,"Ostendstraße WE 0.1.1, Oberschöneweide, Berlin",NUR FÜR STUDENTEN - Vollständig möbliertes Privatzimmer in einer 4-er WG,Estate agent,679,13.8,1,0,0,0,0,0,,0,0
Friedrichshain,"Krossener Straße Room 2, Friedrichshain, Berlin",4er WG-Zimmer mit Balkon in Friedrichschain,Estate agent,899,34,1,0,0,0,0,0,,0,0
Mitte,"Am Köllnischen Park C.5.2 rechts rechts, Mitte (Ortsteil), Berlin","Attraktive 2 -Zimmer Möblierte Wohnung mit Balkon im ""Embassy""",Estate agent,2199,53.5,2,0,0,0,0,0,,0,0
Friedrichshain,"Krossener Straße Room 3, Friedrichshain, Berlin",Zimmer mit Balkon in einer 4-er-WG in Friedrichschain,Estate agent,899,18.38,1,0,0,0,0,0,,0,0
Moabit,"Heidestraße 0, Moabit, Berlin","Heidestraße, Berlin",HousingAnywhere B.V.,2500,18,1,0,0,0,0,0,,0,0
Moabit,"Heidestraße 0, Moabit, Berlin","Heidestraße, Berlin",HousingAnywhere B.V.,2500,18,1,0,0,0,0,0,,0,0
Charlottenburg,"Leibnizstraße 0, Charlottenburg, Berlin","Leibnizstraße, Berlin",HousingAnywhere B.V.,1800,56,2,0,0,0,0,0,,0,1
Charlottenburg,"Mollwitzstr. 8, Charlottenburg, Berlin",Seniorenwohnung ab 50 Jahre - Nähe Schlossgarten Charlottenburg,Private offer,799.63,55.69,2,1,0,0,0,0,,0,0
Mitte,"Brunnenstraße 0, Mitte (Ortsteil), Berlin","Brunnenstraße, Berlin",HousingAnywhere B.V.,1600,36,1,0,0,0,0,0,,0,0
Spandau,"Brunsbütteler Damm 79, Spandau (Ortsteil), Berlin",Singlewohnung nähe Spandau-Arcaden,Estate agent,424.59,44.6,1,0,0,0,0,0,,0,0
Köpenick,"Carl-Spindler-Straße 1, Köpenick, Berlin",1 Zimmerwohnung an der Spree,Estate agent,717.5,35,1,0,1,0,0,0,,0,0
Hellersdorf,"Alte Hellersdorfer Straße 113, Hellersdorf, Berlin","Keine weiten Wege: Bus, TRAM, Discounter um die Ecke",Estate agent,783.15,68.1,3,0,1,0,0,0,,0,0
Hellersdorf,"Alte Hellersdorfer Str. 122, Hellersdorf, Berlin",Machen Sie es sich gemütlich,Estate agent,782.92,68.08,3,0,1,0,0,0,,0,0
Hellersdorf,"Zossener Straße 120, Hellersdorf, Berlin",Familienfreundliche Umgebung,Estate agent,782.92,68.08,3,0,1,0,0,0,,0,0
Hellersdorf,"Luckenwalder Straße 6, Hellersdorf, Berlin",Singles aufgepasst! Toller Grundriss,Estate agent,463.45,40.3,1,0,1,0,0,0,,0,0
Hellersdorf,"Luckenwalder Straße 32, Hellersdorf, Berlin",Einziehen - wohlfühlen - glücklich sein - top saniert,Estate agent,802.93,69.82,3,0,1,0,0,0,,0,0
Hellersdorf,"Kyritzer Straße 32, Hellersdorf, Berlin",Erstbezug nach Sanierung,Estate agent,793.27,68.98,3,0,1,0,0,0,,0,0
Hellersdorf,"Zossener Straße 120, Hellersdorf, Berlin",Wir bauen einen Spielplatz für Ihre Kinder,Estate agent,782.92,68.08,3,0,1,0,0,0,,0,0
Hellersdorf,"Alte Hellersdorfer Straße 110, Hellersdorf, Berlin",handwerkliches Geschick gesucht! Hier können Sie Ihre Wände selbst gestalten!,Estate agent,782.92,68.08,3,0,1,0,0,0,,0,0
Karlshorst,"Karlshorst, Berlin","Stilvolle 3,5-Zimmer-Maisonette-Wohnung mit Balkon in Karlshorst (Lichtenberg), Berlin",Private offer,1730,100,3.5,0,0,1,0,0,,0,0
Charlottenburg,"Leibnizstr. 55, Charlottenburg, Berlin",Leibniz.55 - Möbliertes Wohnen auf Zeit,Estate agent,12000,300,7,1,0,0,0,0,,0,0
Plänterwald,"Platanenweg 40, Plänterwald, Berlin",Sanierte Wohnung mit zwei Zimmern sowie Balkon und EBK in Berlin,Private offer,1250,50,2,1,0,0,0,0,,0,0
Lichterfelde,"Lichterfelde, Berlin",Sonnige 3-Zimmer-Wohnung mit Terrasse und Garten in Lichterfelde-West,Private offer,2079.94,81.6,3,1,0,0,0,0,,0,0
Grunewald,"Grunewald, Berlin",+++ Grunewald-2-Zimmerwohnung nähe Halensee provisionsfrei +++,Private offer,1350,58,2,1,1,0,0,0,,0,0
Grünau,"Gaffelsteig  2, Grünau, Berlin",Erstbezug - 2 Zimmer zum Wohlfühlen!,Estate agent,1021.35,49.58,2,1,0,0,1,0,,0,0
Grünau,"Gaffelsteig  2, Grünau, Berlin",Erstbezug - praktisch geschnittene 1-Zimmerwohnung in Grünau!,Estate agent,848.01,40.19,1,1,0,0,1,0,,0,0
Friedrichshain,"Friedrichsberger Straße 23, Friedrichshain, Berlin","Schöne, geräumige 1 Zimmer Wohnung in Berlin, Friedrichshain",Private offer,900,34,1,1,0,0,0,0,,0,0
Friedrichshain,"Friedrichshain, Berlin",Möblierte Wohnung in ruhiger Lage im Herzen der Stadt,Estate agent,1674,49.27,2,1,1,0,0,0,,0,0
Charlottenburg,"Bismarckstraße  80, Charlottenburg, Berlin",Schmuckstück - Sanierter Altbau mit über 260 m² sucht neue Mieter!,Estate agent,4880.7,265.34,7,1,0,0,0,1,,0,0
Friedrichshain,"Gürtelstr. 38, Friedrichshain, Berlin",Friedrichshain: Exclusives Penthouse - 2 Zimmer mit Dachterrasse,Estate agent,1870,68,2,1,0,0,0,0,,0,0
Westend,"Jesse-Owens-Allee 0, Westend, Berlin","Jesse-Owens-Allee, Berlin",HousingAnywhere B.V.,1199,36,1,0,0,0,0,0,,0,1
Mitte,"Am Köllnischen Park 17, Mitte (Ortsteil), Berlin",Furnished 2 rooms apartment in Mitte (Berlin),Estate agent,2736,65,2,1,0,0,1,0,,0,0
Mitte,"Linienstraße 0, Mitte (Ortsteil), Berlin","Linienstraße, Berlin",HousingAnywhere B.V.,2125,57,1,0,0,0,0,0,,0,0
Moabit,"Beusselstraße 0, Moabit, Berlin","Beusselstraße, Berlin",HousingAnywhere B.V.,2350,69,1,0,0,0,0,0,,0,0
Friedrichsfelde,"Am Tierpark 0, Friedrichsfelde, Berlin","Am Tierpark, Berlin",HousingAnywhere B.V.,1400,36,1,0,0,0,0,0,,0,1
Gesundbrunnen,"Koloniestraße 0, Gesundbrunnen, Berlin","Koloniestraße, Berlin",HousingAnywhere B.V.,1499,32,1,0,0,0,0,0,,0,0
Neukölln,"Columbiadamm 0, Neukölln (Ortsteil), Berlin","Columbiadamm, Berlin",HousingAnywhere B.V.,1790,52,1,0,0,0,0,0,,0,1
Kreuzberg,"Falckensteinstraße 0, Kreuzberg, Berlin","Falckensteinstraße, Berlin",HousingAnywhere B.V.,3200,85,3,0,0,0,0,0,,0,0
Gesundbrunnen,"Koloniestraße 0, Gesundbrunnen, Berlin","Koloniestraße, Berlin",HousingAnywhere B.V.,1500,45,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Buchholzer Straße 0, Prenzlauer Berg, Berlin","Buchholzer Straße, Berlin",HousingAnywhere B.V.,2000,65,2,0,0,0,0,0,,0,0
Friedrichshain,"Gabriel-Max-Straße 0, Friedrichshain, Berlin","Gabriel-Max-Straße, Berlin",HousingAnywhere B.V.,1990,53,1,0,0,0,0,0,,0,0
Westend,"Glockenturmstraße 0, Westend, Berlin","Glockenturmstraße, Berlin",HousingAnywhere B.V.,2300,82,3,0,0,0,0,0,,0,1
Rahnsdorf,"Grenzweg 0, Rahnsdorf, Berlin","Grenzweg, Berlin",HousingAnywhere B.V.,1500,50,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Thaerstraße 0, Prenzlauer Berg, Berlin","Thaerstraße, Berlin",HousingAnywhere B.V.,1800,59,2,0,0,0,0,0,,0,0
Friedrichshain,"Markgrafendamm 0, Friedrichshain, Berlin","Markgrafendamm, Berlin",HousingAnywhere B.V.,1900,87,2,0,0,0,0,0,,0,0
Gesundbrunnen,"Ravenestraße 6, Gesundbrunnen, Berlin","Wohlfühl-Wohnung in oberster Etage (DG), sonnige Terrasse, Parkett u.v.m.",Estate agent,2260,160.46,4,0,1,0,0,0,,0,0
Mitte,"Köpenicker Straße 102 - 103, Mitte (Ortsteil), Berlin","Studio Apartment - Erstbezug im stilvollen Neubau mit EBK nahe Jannowitzbrücke, Alexanderplatz,",Estate agent,1315,32.35,1,1,0,0,0,0,,0,0
Mitte,"Köpenicker Straße 102 - 103, Mitte (Ortsteil), Berlin",Stilvolle Studiowohnung mit EBK nahe Jannowitzbrücke / Alexanderplatz,Estate agent,1215,31.31,1,1,0,0,0,0,,0,0
Mitte,"Köpenicker Straße 102 - 103, Mitte (Ortsteil), Berlin",Studio Apartment - Erstbezug im stilvollen Neubau mit EBK nahe Jannowitzbrücke / Alexanderplatz,Estate agent,950,23.2,1,1,0,0,0,0,,0,0
Lichterfelde,"Moltkestraße 46a, Lichterfelde, Berlin",Luxus-1-Zimmer-Apartments am Botanischen Garten  * komplett möbliert - mit WLAN,Estate agent,1179,28.2,1,1,0,0,0,0,,0,0
Westend,"Westend, Berlin",Kleine 1-Zimmer Wohnung in Neu-Westend,Private offer,700,32,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Dunckerstr. 23, Prenzlauer Berg, Berlin",Möblierte 1 Zimmer Wohnung mit Balkon im Prenzlauer Berg - nähe Helmholtzplatz - frei ab sofort,Estate agent,1390,40,1,1,0,0,0,0,,0,0
Friedrichsfelde,"Friedrichsfelde, Berlin","Wohnen in den Schlossterrassen am Tierpark, 3-Zimmer-Wohnung inkl. EBK und Süd-Balkon",Estate agent,1657.68,81.04,3,1,0,0,0,0,,0,0
Tiergarten,"Genthiner Straße 51, Tiergarten, Berlin",2-Zimmer-Erstbezug im Neubau in Schöneberg nahe Potsdamer Platz,Estate agent,2010,61.17,2,1,0,0,0,0,,0,0
Neu-Hohenschönhausen,"Ahrenshooper Straße 2, Neu-Hohenschönhausen, Berlin",Frisch renovierte Singlewohnung mit Balkon!,Estate agent,607,37.03,1,0,1,0,0,0,,0,0
Charlottenburg,"Wielandstraße 41, Charlottenburg, Berlin",Modernisierte Wohnung mit einem Zimmer sowie Balkon und Einbauküche in Berlin,Estate agent,749,38,1,1,0,0,0,0,,0,0
Hakenfelde,"Hugo-Cassirer-Str. 11, Hakenfelde, Berlin","Top Hochwertig neugebaut direkt am Wasser mit Blick auf die Havel, Balkon, Einbauküche, Aufzüge",Private offer,1800,77.04,3,1,0,0,0,0,,0,0
Kreuzberg,"Köpenicker Straße 194, Kreuzberg, Berlin",2 rooms apartment in Kreuzberg (Berlin),Estate agent,2338,50,2,1,0,0,0,0,,0,0
Mitte,"Am Köllnischen Park 11, Mitte (Ortsteil), Berlin",Furnished 2 rooms apartment with Balcony in Mitte (Berlin),Estate agent,2775,54,2,1,0,0,0,0,,0,0
Schöneberg,"Geisbergstraße 31, Schöneberg, Berlin",2 rooms apartment with Balcony in Charlottenburg  (Berlin),Estate agent,2100,38,2,1,0,0,0,0,,0,0
Mitte,"Voltairestraße 11, Mitte (Ortsteil), Berlin",Furnished 2 rooms apartment in Mitte (Berlin) with Gym and Terrace,Estate agent,2850,54,2,1,0,0,0,0,,0,0
Mitte,"Am Köllnischen Park 17, Mitte (Ortsteil), Berlin",Furnished 2 rooms apartment in Mitte (Berlin),Estate agent,2350,55,2,1,0,0,1,0,,0,0
Prenzlauer Berg,"Nordkapstraße 0, Prenzlauer Berg, Berlin","Nordkapstraße, Berlin",HousingAnywhere B.V.,1490,44,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Wisbyer Straße 0, Prenzlauer Berg, Berlin","Wisbyer Straße, Berlin",HousingAnywhere B.V.,1650,47,1,0,0,0,0,0,,0,0
Moabit,"Kurfürstenstraße 0, Moabit, Berlin","Kurfürstenstraße, Berlin",HousingAnywhere B.V.,3400,142,3,0,0,0,0,0,,0,0
Mitte,"Neue Grünstraße 0, Mitte (Ortsteil), Berlin","Neue Grünstraße, Berlin",HousingAnywhere B.V.,2200,45,1,0,0,0,0,0,,0,1
Westend,"Glockenturmstraße 0, Westend, Berlin","Glockenturmstraße, Berlin",HousingAnywhere B.V.,2250,82,3,0,0,0,0,0,,0,1
Neukölln,"Emser Straße 0, Neukölln (Ortsteil), Berlin","Emser Straße, Berlin",HousingAnywhere B.V.,1500,50,1,0,0,0,0,0,,0,0
Schöneberg,"Speyerer Straße 0, Schöneberg, Berlin","Speyerer Straße, Berlin",HousingAnywhere B.V.,1450,35,1,0,0,0,0,0,,0,0
Friedrichshain,"Stralauer Allee 0, Friedrichshain, Berlin","Stralauer Allee, Berlin",HousingAnywhere B.V.,2995,100,4,0,0,0,0,0,,0,0
Prenzlauer Berg,"Winsstraße 0, Prenzlauer Berg, Berlin","Winsstraße, Berlin",HousingAnywhere B.V.,1500,43,1,0,0,0,0,0,,0,0
Tiergarten,"Potsdamer Straße 0, Tiergarten, Berlin","Potsdamer Straße, Berlin",HousingAnywhere B.V.,1200,30,1,0,0,0,0,0,,0,0
Charlottenburg,"Mommsenstraße 0, Charlottenburg, Berlin","Mommsenstraße, Berlin",HousingAnywhere B.V.,3800,118,2,0,0,0,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin","Möblierte 5,5 Zimmer Wohnung in Charlottenburg direkt am Lietzensee",Estate agent,3680,160,6,1,0,0,0,0,,0,0
Charlottenburg,"Rückertstraße 0, Charlottenburg, Berlin","Rückertstraße, Berlin",HousingAnywhere B.V.,2550,75,3,0,0,0,0,0,,0,0
Kreuzberg,"Mittenwalder Straße 0, Kreuzberg, Berlin","Mittenwalder Straße, Berlin",HousingAnywhere B.V.,1400,45,1,0,0,0,0,0,,0,0
Schmöckwitz,"Godbersenstr. 27, Schmöckwitz, Berlin",Möblierte 4 - Zimmer Wohnung in Berlin gern als Monteur Wohnung oder für Arbeiter,Estate agent,4800,130,4,1,0,0,0,0,,0,0
Tempelhof,"Friedrich-Karl-Str. 22, Tempelhof, Berlin",ab 15.03.2023 ++ Möbliertes Apartment am Tempelhofer Hafen ++,Estate agent,924,27.45,1,1,0,0,0,0,,0,0
Schöneberg,"Schöneberg, Berlin",Möblierte Dachgeschosswohnung am Dürerplatz befristet bis maximal 31.12.2026,Estate agent,1950,124,3,1,0,0,0,0,,0,0
Tiergarten,"Potsdamer Str. 98, Tiergarten, Berlin","223m² City Penthouse mit Terrasse & Balkon im ""Kunstpalais"" Potsdamer Straße",Estate agent,4709,223,4,1,0,0,0,0,,0,0
Lichterfelde,"Lichterfelde, Berlin","Barrierefrei! 3-Zi., EG, Terrasse, Nähe Stadtpark Stegliz & Charité Campus Benjamin Franklin",Estate agent,1980,87.5,3,0,0,1,0,0,,0,0
Charlottenburg,"Charlottenburg, Berlin",Löffelfertige 2 Zimmer Wohnung in der Nähe der vom Lietzensee,Estate agent,1650,55,2,1,0,0,0,0,,0,0
Marienfelde,"Kirchstraße 27, Marienfelde, Berlin",Ruhig gelegene 2 Zimmer Wohnung in Marienfelde,Estate agent,988.4,70,2,0,1,0,0,0,,0,0
Kreuzberg,"Jahnstraße 15A, Kreuzberg, Berlin",Wunderschöne 2 Zimmer Wohnung in beliebten Bezirk direkt am Volkspark  Hasenheide,Estate agent,2210,55,2,0,0,0,0,0,,0,0
Steglitz,"Gritznerstr. 39, Steglitz, Berlin",Löffelfertige 2 Zimmer Wohnung in der Nähe der Schloßstraße,Estate agent,1720,63.58,2,1,0,0,0,0,,0,0
Friedrichshain,"Mühlenstraße 20, Friedrichshain, Berlin",Exclusive 3 Zimmer Wohnung mit wunderschönen Möbeln und hochwertiger Austattung direkt am Hackeschen,Estate agent,4925,93,3,1,0,0,0,0,,0,0
Lichterfelde,"Lichterfelde, Berlin","Geräumige 2-Zimmer-Wohnung nähe Kranoldplatz, Lichterfelde",Estate agent,1492.88,102.63,2,1,0,1,0,0,,0,0
Prenzlauer Berg,"Stargarder 73, Prenzlauer Berg, Berlin",Studio in Prenzlauer Berg (Berlin),Estate agent,1955,42,1,1,0,0,0,0,,0,0
Borsigwalde,"Conradstr. 69, Borsigwalde, Berlin",Sanierte 1-Zimmer Wohnung mit Einbauküche und Balkon,Private offer,853.8,39,1,1,0,0,0,0,,0,0
Charlottenburg,"Kamminer Straße 0, Charlottenburg, Berlin","Kamminer Straße, Berlin",HousingAnywhere B.V.,1600,65,1,0,0,0,0,0,,0,0
Westend,"Glockenturmstraße 0, Westend, Berlin","Glockenturmstraße, Berlin",HousingAnywhere B.V.,1750,60,2,0,0,0,0,0,,0,1
Wedding,"Reinickendorfer Straße 0, Wedding, Berlin","Reinickendorfer Straße, Berlin",HousingAnywhere B.V.,1490,25,1,0,0,0,0,0,,0,0
Schmöckwitz,"Seddinpromenade 0, Schmöckwitz, Berlin","Seddinpromenade, Berlin",HousingAnywhere B.V.,929,33,1,0,0,0,0,0,,0,0
Reinickendorf,"Reginhardstraße 0, Reinickendorf (Ortsteil), Berlin","Reginhardstraße, Berlin",HousingAnywhere B.V.,1960,58,1,0,0,0,0,0,,0,0
Pankow,"Prenzlauer Promenade 0, Pankow (Ortsteil), Berlin","Prenzlauer Promenade, Berlin",HousingAnywhere B.V.,1950,58,2,0,0,0,0,0,,0,0
Charlottenburg,"Helmholtzstraße 0, Charlottenburg, Berlin","Helmholtzstraße, Berlin",HousingAnywhere B.V.,3300,106,2,0,0,0,0,0,,0,0
Neukölln,"Silbersteinstraße 0, Neukölln (Ortsteil), Berlin","Silbersteinstraße, Berlin",HousingAnywhere B.V.,2100,46,1,0,0,0,0,0,,0,1
Schmöckwitz,"Seddinpromenade 0, Schmöckwitz, Berlin","Seddinpromenade, Berlin",HousingAnywhere B.V.,729,22,1,0,0,0,0,0,,0,0
Moabit,"Kaiserin-Augusta-Allee 103, Moabit, Berlin",103/021 - 2 Zimmerwohnung ohne Fahrstuhl sucht Nachmieter,Private offer,870,60,2,1,0,0,0,0,,0,0
Lichterfelde,"Lichterfelde, Berlin","Barrierefrei! DG 114 qm, 3-Zi. + Terrasse. Nähe Stadtpark Stegliz & Charité Campus Benjamin Franklin",Estate agent,2700,114,3,0,0,0,0,1,,0,0
Alt-Treptow,"Harzerstrasse 109, Alt-Treptow, Berlin",Attraktive und ruhige 2-Zimmer-Wohnung / Nice 2-room apartment,Private offer,1800,52,2,1,0,0,0,0,,0,0
Köpenick,"Henriette-Lustig-Straße 24, Köpenick, Berlin",Dachterrasse - Traumlage direkt an der Spree mit Aufzug und EBK,Estate agent,1119.39,37.69,2,1,0,0,0,0,,0,0
Wilmersdorf,"Wittelsbacherstraße 0, Wilmersdorf, Berlin","Wittelsbacherstraße, Berlin",HousingAnywhere B.V.,1800,55,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Behmstraße 0, Prenzlauer Berg, Berlin","Behmstraße, Berlin",HousingAnywhere B.V.,2000,45,1,0,0,0,0,0,,0,0
Prenzlauer Berg,"Prenzlauer Allee 0, Prenzlauer Berg, Berlin","Prenzlauer Allee, Berlin",HousingAnywhere B.V.,1700,42,1,0,0,0,0,0,,0,0
Kreuzberg,"Boppstraße 0, Kreuzberg, Berlin","Boppstraße, Berlin",HousingAnywhere B.V.,2400,72,1,0,0,0,0,0,,0,0
Wedding,"Glasgower Straße 0, Wedding, Berlin","Glasgower Straße, Berlin",HousingAnywhere B.V.,2150,102,2,0,0,0,0,0,,0,0
Friedrichshain,"Mühlenstraße 0, Friedrichshain, Berlin","Mühlenstraße, Berlin",HousingAnywhere B.V.,2559,60,1,0,0,0,0,0,,0,0
Gesundbrunnen,"Drontheimer Straße 0, Gesundbrunnen, Berlin","Drontheimer Straße, Berlin",HousingAnywhere B.V.,1400,45,1,0,0,0,0,0,,0,0
Kreuzberg,"Yorckstraße 0, Kreuzberg, Berlin","Yorckstraße, Berlin",HousingAnywhere B.V.,1780,45,1,0,0,0,0,0,,0,0
Friedrichshain,"Schreinerstraße 0, Friedrichshain, Berlin","Schreinerstraße, Berlin",HousingAnywhere B.V.,2000,40,1,0,0,0,0,0,,0,0
Köpenick,"Henriette-Lustig-Straße 25, Köpenick, Berlin",Süd-Dachterrasse mit EBK und Aufzug direkt an der Spree,Estate agent,1423.52,47.93,2,1,0,0,0,0,,0,0
Grunewald,"Grunewald, Berlin",Großzügige Wohnung in erstklassiger Lage direkt am Grunewald,Estate agent,1980,100,3,1,0,0,0,0,,0,0
Spandau,"An der Kappe 82, Spandau (Ortsteil), Berlin",Neubau - Schöne helle 3 Zimmerwohnung  im Gartenhaus,Estate agent,1535,77,3,0,0,0,0,0,,0,0
Neukölln,"Herrfurthstraße 29, Neukölln (Ortsteil), Berlin",Wunderschön ausgestattete 3 Zimmer Wohnung in angesagten Bezirk mit vielen  Ausgemöglichkeiten,Estate agent,2200,65,2,0,0,0,1,0,,0,0
Neukölln,"Rollbergstraße 1, Neukölln (Ortsteil), Berlin",Schöne möblierte 2 Zimmer Wohnung in beliebter Lage mit vielen Parks in der Nähe,Estate agent,2160,72,2,0,0,0,0,0,,0,0
Neukölln,"Sonnenallee 149, Neukölln (Ortsteil), Berlin",Toll ausgestattete 2 Zimmer Wohnung in aufstrebender Lage direkt im  Schillerkiez,Estate agent,1960,51,2,0,0,0,0,0,,0,0
Charlottenburg,"Arcostraße 3, Charlottenburg, Berlin",Super schöne 2 Zimmer Wohnung neben der Spree in der nähe des Schlossgarten Charlottenburg.,Estate agent,2160,56,2,1,0,0,0,0,,0,0
Charlottenburg,"Heisenbergstraße 7, Charlottenburg, Berlin",Gut geschnittene 4 Zimmer Wohnung in ruhiger Lage direkt  an der Spree,Estate agent,4360,117,4,0,0,0,1,0,,0,0
Friedrichshagen,"Müggelseedamm 276, Friedrichshagen, Berlin","Traumhafte Lage am Müggelsee mit Garten, direktem Wasserzugang, Sauna, Badesteg und Bootsanlegeplatz",Estate agent,2850,100,3,1,0,0,0,0,,0,0
Charlottenburg,"Schlesingerstraße 8, Charlottenburg, Berlin",Wunderschöne gut ausgestattete 4 Zimmer Wohnung direkt in der  Innenstadt,Estate agent,4410,118,4,0,0,0,1,0,,0,0
Charlottenburg,"Schlesingerstraße 6, Charlottenburg, Berlin",Elegante 3 Zimmer Neubauwohnung in zentraler Lage  direkt an der Spree,Estate agent,3375,87,3,0,0,0,1,0,,0,0
Gesundbrunnen,"Ravenéstraße 3, Gesundbrunnen, Berlin",Super schöne 3 Zimmer Wohnung in schöner Lage in Mitte. Hochwertige Möbel und Austattung,Estate agent,2565,87,3,0,0,0,0,0,,0,0
Rummelsburg,"Rummelsburg, Berlin","Leben im MY BAY, 4-Zimmerwohnung mit traumhaftem Ausblick und hochwertiger Einbauküche",Estate agent,2585,93,3,1,0,0,0,0,,0,0
Friedrichshain,"Schreinerstraße 0, Friedrichshain, Berlin","Schreinerstraße, Berlin",HousingAnywhere B.V.,2000,40,1,0,0,0,0,0,,0,0
Schöneberg,"Bamberger Straße 0, Schöneberg, Berlin","Bamberger Straße, Berlin",HousingAnywhere B.V.,2750,100,1,0,0,0,0,0,,0,1
Schöneberg,"Bamberger Straße 0, Schöneberg, Berlin","Bamberger Straße, Berlin",HousingAnywhere B.V.,2000,79,2,0,0,0,0,0,,0,0
Westend,"Rognitzstraße 0, Westend, Berlin","Rognitzstraße, Berlin",HousingAnywhere B.V.,1550,20,1,0,0,0,0,0,,0,0
Westend,"Rognitzstraße 0, Westend, Berlin","Rognitzstraße, Berlin",HousingAnywhere B.V.,1550,19,1,0,0,0,0,0,,0,0
Westend,"Rognitzstraße 0, Westend, Berlin","Rognitzstraße, Berlin",HousingAnywhere B.V.,1550,20,1,0,0,0,0,0,,0,0
Mitte,"Am Köllnischen Park 0, Mitte (Ortsteil), Berlin","Am Köllnischen Park, Berlin",HousingAnywhere B.V.,2400,54,1,0,0,0,0,0,,0,1
Charlottenburg,"Schloßstraße 0, Charlottenburg, Berlin","Schloßstraße, Berlin",HousingAnywhere B.V.,1750,35,1,0,0,0,0,0,,0,0
Tiergarten,"Joseph-von-Eichendorff-Gasse 0, Tiergarten, Berlin","Joseph-von-Eichendorff-Gasse, Berlin",HousingAnywhere B.V.,3000,45,1,0,0,0,0,0,,0,1
Britz,"Rungiusstraße 0, Britz, Berlin","Rungiusstraße, Berlin",HousingAnywhere B.V.,1700,38,1,0,0,0,0,0,,0,1
Friedrichshain,"Gabriel-Max-Straße 16, Friedrichshain, Berlin",Wunderschöne vollausgestattete 1 Zimmer Wohnung in Gründerzeit Altbau direkt am Boxhagener Platz.,Estate agent,1765,31,1,0,0,0,0,0,,0,0
