district,address,description,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
mitte,"Köpenicker Straße 102 - 103, Mitte (Ortsteil), Berlin",Stilvolle Studiowohnung mit EBK nahe Jannowitzbrücke / Alexanderplatz,1215.0,31.31,1.0,1,1,1,0,0,0,0,0
mitte,"Köpenicker Straße 102 - 103, Mitte (Ortsteil), Berlin",Studio Apartment - Erstbezug im stilvollen Neubau mit EBK nahe Jannowitzbrücke / Alexanderplatz,950.0,23.2,1.0,1,1,1,0,0,0,0,0
lichterfelde,"Moltkestraße 46a, Lichterfelde, Berlin",Luxus-1-Zimmer-Apartments am Botanischen Garten  * komplett möbliert - mit WLAN,1179.0,28.2,1.0,1,1,0,1,0,0,0,0
westend,"Westend, Berlin",Kleine 1-Zimmer Wohnung in Neu-Westend,700.0,32.0,1.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Dunckerstr. 23, Prenzlauer Berg, Berlin",Möblierte 1 Zimmer Wohnung mit Balkon im Prenzlauer Berg - nähe Helmholtzplatz - frei ab sofort,1390.0,40.0,1.0,1,1,1,0,0,0,0,0
friedrichsfelde,"Friedrichsfelde, Berlin","Wohnen in den Schlossterrassen am Tierpark, 3-Zimmer-Wohnung inkl. EBK und Süd-Balkon",1657.68,81.04,3.0,1,1,1,0,0,0,0,0
tiergarten,"Genthiner Straße 51, Tiergarten, Berlin",2-Zimmer-Erstbezug im Neubau in Schöneberg nahe Potsdamer Platz,2010.0,61.17,2.0,1,1,1,0,0,0,0,0
neu-hohenschönhausen,"Ahrenshooper Straße 2, Neu-Hohenschönhausen, Berlin",Frisch renovierte Singlewohnung mit Balkon!,607.0,37.03,1.0,1,0,1,0,1,0,0,0
charlottenburg,"Wielandstraße 41, Charlottenburg, Berlin",Modernisierte Wohnung mit einem Zimmer sowie Balkon und Einbauküche in Berlin,749.0,38.0,1.0,1,1,1,0,0,0,0,0
hakenfelde,"Hugo-Cassirer-Str. 11, Hakenfelde, Berlin","Top Hochwertig neugebaut direkt am Wasser mit Blick auf die Havel, Balkon, Einbauküche, Aufzüge",1800.0,77.04,3.0,1,1,1,0,0,0,0,0
kreuzberg,"Köpenicker Straße 194, Kreuzberg, Berlin",2 rooms apartment in Kreuzberg (Berlin),2338.0,50.0,2.0,0,1,0,0,0,0,0,0
mitte,"Am Köllnischen Park 11, Mitte (Ortsteil), Berlin",Furnished 2 rooms apartment with Balcony in Mitte (Berlin),2775.0,54.0,2.0,1,1,0,0,1,0,0,0
schöneberg,"Geisbergstraße 31, Schöneberg, Berlin",2 rooms apartment with Balcony in Charlottenburg  (Berlin),2100.0,38.0,2.0,1,1,0,0,1,0,0,0
mitte,"Voltairestraße 11, Mitte (Ortsteil), Berlin",Furnished 2 rooms apartment in Mitte (Berlin) with Gym and Terrace,2850.0,54.0,2.0,1,1,0,0,1,0,0,0
mitte,"Am Köllnischen Park 17, Mitte (Ortsteil), Berlin",Furnished 2 rooms apartment in Mitte (Berlin),2350.0,55.0,2.0,0,1,0,0,1,0,0,0
schöneberg,"Geßlerstraße 8, Schöneberg, Berlin",Wohnungstausch: Geßlerstraße 8,800.0,58.0,2.0,1,0,0,0,0,0,0,0
neu-hohenschönhausen,"Röttkenring 6, Neu-Hohenschönhausen, Berlin",Wohnungstausch: Röttkenring 6,580.0,53.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Friedelstraße 40, Neukölln (Ortsteil), Berlin",Wohnungstausch: Friedelstraße 40,600.0,54.0,2.0,1,0,0,0,0,0,0,0
friedrichshain,"Boxhagener Straße 81, Friedrichshain, Berlin",Wohnungstausch: Boxhagener Straße 81,2340.0,106.0,4.0,1,0,0,0,1,0,0,0
prenzlauer berg,"Greifswalder Straße 160, Prenzlauer Berg, Berlin",Wohnungstausch: Greifswalder Straße 160,590.0,36.0,1.0,0,0,0,0,0,0,0,0
friedrichshain,"Gabriel-Max-Straße 15, Friedrichshain, Berlin",Wohnungstausch: Gabriel-Max-Straße 15,1220.0,70.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Thaerstraße 24, Friedrichshain, Berlin",Wohnungstausch: Thaerstraße 24,880.0,76.0,3.0,0,0,0,0,0,0,0,0
mitte,"Invalidenstraße 156, Mitte (Ortsteil), Berlin",Wohnungstausch: Invalidenstraße 156,970.0,64.0,2.0,0,0,0,0,0,0,0,0
steglitz,"Zimmermannstraße 3, Steglitz, Berlin",Wohnungstausch: Zimmermannstraße 3,580.0,42.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Mariannenstraße 35, Kreuzberg, Berlin",Wohnungstausch: Mariannenstraße 35,420.0,38.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Fürbringerstraße 22, Kreuzberg, Berlin",Wohnungstausch: Fürbringerstraße 22,990.0,60.0,2.0,1,0,0,0,0,0,0,0
charlottenburg,"Charlottenburg, Berlin","Möblierte 5,5 Zimmer Wohnung in Charlottenburg direkt am Lietzensee",3680.0,160.0,6.0,1,1,1,0,0,0,0,0
prenzlauer berg,"Prenzlauer Berg, Berlin",Tauschwohnung: Biete 3 Zi. in Berlin - suche 4 Zi. in Berlin,1058.0,89.0,3.0,1,1,1,0,0,0,0,0
moabit,"Moabit, Berlin","Tauschwohnung: 1,5Z + 1Z (Moabit) oder 2,5 (Charltbg) gg 3-4 Zi in Wittenau",380.0,75.0,2.5,1,1,0,1,0,0,0,0
schmöckwitz,"Godbersenstr. 27, Schmöckwitz, Berlin",Möblierte 4 - Zimmer Wohnung in Berlin gern als Monteur Wohnung oder für Arbeiter,4800.0,130.0,4.0,1,1,0,0,0,0,1,0
tempelhof,"Friedrich-Karl-Str. 22, Tempelhof, Berlin",ab 15.03.2023 ++ Möbliertes Apartment am Tempelhofer Hafen ++,924.0,27.45,1.0,1,1,0,0,1,0,0,0
schöneberg,"Schöneberg, Berlin",Möblierte Dachgeschosswohnung am Dürerplatz befristet bis maximal 31.12.2026,1950.0,124.0,3.0,1,1,1,0,0,0,0,0
tiergarten,"Potsdamer Str. 98, Tiergarten, Berlin","223m² City Penthouse mit Terrasse & Balkon im ""Kunstpalais"" Potsdamer Straße",4709.0,223.0,4.0,1,1,1,0,0,0,0,0
lichterfelde,"Lichterfelde, Berlin","Barrierefrei! 3-Zi., EG, Terrasse, Nähe Stadtpark Stegliz & Charité Campus Benjamin Franklin",1980.0,87.5,3.0,1,0,0,1,1,0,0,0
charlottenburg,"Charlottenburg, Berlin",Löffelfertige 2 Zimmer Wohnung in der Nähe der vom Lietzensee,1650.0,55.0,2.0,0,1,0,0,0,0,0,0
marienfelde,"Kirchstraße 27, Marienfelde, Berlin",Ruhig gelegene 2 Zimmer Wohnung in Marienfelde,988.4,70.0,2.0,0,0,1,0,0,0,0,0
kreuzberg,"Jahnstraße 15A, Kreuzberg, Berlin",Wunderschöne 2 Zimmer Wohnung in beliebten Bezirk direkt am Volkspark  Hasenheide,2210.0,55.0,2.0,0,0,0,0,0,0,0,0
steglitz,"Gritznerstr. 39, Steglitz, Berlin",Löffelfertige 2 Zimmer Wohnung in der Nähe der Schloßstraße,1720.0,63.58,2.0,1,1,0,0,0,0,0,0
friedrichshain,"Mühlenstraße 20, Friedrichshain, Berlin",Exclusive 3 Zimmer Wohnung mit wunderschönen Möbeln und hochwertiger Austattung direkt am Hackeschen,4925.0,93.0,3.0,1,1,0,0,1,0,0,0
lichterfelde,"Lichterfelde, Berlin","Geräumige 2-Zimmer-Wohnung nähe Kranoldplatz, Lichterfelde",1492.88,102.63,2.0,0,1,1,1,0,0,0,0
prenzlauer berg,"Stargarder 73, Prenzlauer Berg, Berlin",Studio in Prenzlauer Berg (Berlin),1955.0,42.0,1.0,0,1,0,0,0,0,0,0
borsigwalde,"Conradstr. 69, Borsigwalde, Berlin",Sanierte 1-Zimmer Wohnung mit Einbauküche und Balkon,853.8,39.0,1.0,1,1,0,0,0,0,0,0
adlershof,"Karl-Ziegler-Straße 7, Adlershof, Berlin",geräumige 2-Zimmer-Wohnung,739.5,51.0,2.0,0,0,0,0,1,1,0,0
adlershof,"Karl-Ziegler-Straße 5, Adlershof, Berlin",geräumige 2-Zimmer-Wohnung,739.5,51.0,2.0,0,0,0,0,1,1,0,0
adlershof,"Hermann-Dorner-Allee 19, Adlershof, Berlin",Schicke 2 Raum Wohnung in Adlershof - WBS mit besonderem Wohnbedarf erforderlich!,500.0,50.0,2.0,0,0,0,0,1,1,0,0
adlershof,"Hermann-Dorner-Allee 19, Adlershof, Berlin",WBS mit besonderem Wohnbedarf erforderlich! 2 Raum Wohnung in Adlershof,500.0,50.0,2.0,0,0,0,0,1,1,0,0
adlershof,"Hermann-Dorner-Allee 19, Adlershof, Berlin",Geräumige 2 Raum Wohnung in Adlershof - WBS mit besonderem Wohnbedarf erforderlich!,500.0,50.0,2.0,0,0,0,0,1,1,0,0
adlershof,"Hermann-Dorner-Allee 13A, Adlershof, Berlin",WBS mit besonderem Wohnbedarf erforderlich! Schöne 2 Raum Wohnung,489.6,48.0,2.0,0,0,0,0,1,1,0,0
adlershof,"Hermann-Dorner-Allee 9, Adlershof, Berlin",schöne 1-Zimmer-Wohnung,420.0,30.0,1.0,0,0,0,0,1,1,0,0
adlershof,"Hermann-Dorner-Allee 9, Adlershof, Berlin",1 Zimmer Wohnung - WBS mit besonderem Wohnbedarf!,306.0,30.0,1.0,0,0,0,0,1,1,0,0
buch,"Theodor-Brugsch-Straße 38, Buch, Berlin",Wohnung in Berlin,607.44,63.51,3.0,0,0,0,0,0,0,0,0
moabit,"Kaiserin-Augusta-Allee 103, Moabit, Berlin",103/021 - 2 Zimmerwohnung ohne Fahrstuhl sucht Nachmieter,870.0,60.0,2.0,0,1,0,0,0,0,0,0
lichterfelde,"Lichterfelde, Berlin","Barrierefrei! DG 114 qm, 3-Zi. + Terrasse. Nähe Stadtpark Stegliz & Charité Campus Benjamin Franklin",2700.0,114.0,3.0,1,0,0,0,1,0,1,0
alt-treptow,"Harzerstrasse 109, Alt-Treptow, Berlin",Attraktive und ruhige 2-Zimmer-Wohnung / Nice 2-room apartment,1800.0,52.0,2.0,1,1,1,0,0,0,0,0
köpenick,"Henriette-Lustig-Straße 24, Köpenick, Berlin",Dachterrasse - Traumlage direkt an der Spree mit Aufzug und EBK,1119.39,37.69,2.0,1,1,1,0,0,0,0,0
prenzlauer berg,"Dunckerstraße 84, Prenzlauer Berg, Berlin",Wohnungstausch: Dunckerstraße 84,680.0,52.0,2.0,0,0,0,0,0,0,0,0
gesundbrunnen,"Wiesenstraße 5, Gesundbrunnen, Berlin",Wohnungstausch: Wiesenstraße 5,570.0,33.0,1.0,0,0,0,0,0,0,0,0
steglitz,"Muthesiusstraße 28, Steglitz, Berlin",Wohnungstausch: Muthesiusstraße 28,1760.0,140.0,4.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Berliner Str. 63, Prenzlauer Berg, Berlin",Wohnungstausch: Berliner Str. 63,530.0,55.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Friedelstraße 50, Neukölln (Ortsteil), Berlin",Wohnungstausch: Friedelstraße 50,1040.0,60.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Stuttgarter Str. 58, Neukölln (Ortsteil), Berlin",Wohnungstausch: Stuttgarter Str. 58,760.0,58.0,2.0,1,0,0,0,0,0,0,0
lankwitz,"Falkenhausenweg 61, Lankwitz, Berlin",Wohnungstausch: Falkenhausenweg 61,730.0,78.0,4.0,0,0,0,0,0,0,0,0
weißensee,"Berliner Allee 114, Weißensee, Berlin",Wohnungstausch: Berliner Allee 114,660.0,35.0,1.0,1,0,0,0,0,0,0,0
kreuzberg,"Bergfriedstraße 22, Kreuzberg, Berlin",Wohnungstausch: Bergfriedstraße 22,620.0,61.0,2.0,1,0,0,0,1,0,0,0
köpenick,"Henriette-Lustig-Straße 25, Köpenick, Berlin",Süd-Dachterrasse mit EBK und Aufzug direkt an der Spree,1423.52,47.93,2.0,1,1,1,0,0,0,0,0
grunewald,"Grunewald, Berlin",Großzügige Wohnung in erstklassiger Lage direkt am Grunewald,1980.0,100.0,3.0,1,1,1,0,0,0,0,0
spandau,"An der Kappe 82, Spandau (Ortsteil), Berlin",Neubau - Schöne helle 3 Zimmerwohnung  im Gartenhaus,1535.0,77.0,3.0,0,0,0,0,0,0,0,0
neukölln,"Herrfurthstraße 29, Neukölln (Ortsteil), Berlin",Wunderschön ausgestattete 3 Zimmer Wohnung in angesagten Bezirk mit vielen  Ausgemöglichkeiten,2200.0,65.0,2.0,1,0,0,0,1,0,0,0
neukölln,"Rollbergstraße 1, Neukölln (Ortsteil), Berlin",Schöne möblierte 2 Zimmer Wohnung in beliebter Lage mit vielen Parks in der Nähe,2160.0,72.0,2.0,1,0,0,0,0,0,0,0
neukölln,"Sonnenallee 149, Neukölln (Ortsteil), Berlin",Toll ausgestattete 2 Zimmer Wohnung in aufstrebender Lage direkt im  Schillerkiez,1960.0,51.0,2.0,0,0,0,0,0,0,0,0
charlottenburg,"Arcostraße 3, Charlottenburg, Berlin",Super schöne 2 Zimmer Wohnung neben der Spree in der nähe des Schlossgarten Charlottenburg.,2160.0,56.0,2.0,1,1,0,0,1,0,0,0
charlottenburg,"Heisenbergstraße 7, Charlottenburg, Berlin",Gut geschnittene 4 Zimmer Wohnung in ruhiger Lage direkt  an der Spree,4360.0,117.0,4.0,1,0,0,0,1,0,0,0
friedrichshagen,"Müggelseedamm 276, Friedrichshagen, Berlin","Traumhafte Lage am Müggelsee mit Garten, direktem Wasserzugang, Sauna, Badesteg und Bootsanlegeplatz",2850.0,100.0,3.0,1,1,0,1,0,0,0,0
charlottenburg,"Schlesingerstraße 8, Charlottenburg, Berlin",Wunderschöne gut ausgestattete 4 Zimmer Wohnung direkt in der  Innenstadt,4410.0,118.0,4.0,1,0,0,0,1,0,0,0
charlottenburg,"Schlesingerstraße 6, Charlottenburg, Berlin",Elegante 3 Zimmer Neubauwohnung in zentraler Lage  direkt an der Spree,3375.0,87.0,3.0,1,0,0,0,1,0,0,0
gesundbrunnen,"Ravenéstraße 3, Gesundbrunnen, Berlin",Super schöne 3 Zimmer Wohnung in schöner Lage in Mitte. Hochwertige Möbel und Austattung,2565.0,87.0,3.0,1,0,0,0,0,0,0,0
rummelsburg,"Rummelsburg, Berlin","Leben im MY BAY, 4-Zimmerwohnung mit traumhaftem Ausblick und hochwertiger Einbauküche",2585.0,93.0,3.0,1,1,0,1,0,0,0,0
neukölln,"Okerstraße 6, Neukölln (Ortsteil), Berlin",Wohnungstausch: Okerstraße 6,1020.0,55.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Zossener Str. 4, Kreuzberg, Berlin",Wohnungstausch: Zossener Str. 4,1040.0,60.0,2.0,0,0,0,0,0,0,0,0
mariendorf,"Tauernallee 62, Mariendorf, Berlin",Wohnungstausch: Tauernallee 62,740.0,67.0,3.0,1,0,0,0,0,0,0,0
alt-treptow,"Krüllsstraße 5, Alt-Treptow, Berlin",Wohnungstausch: Krüllsstraße 5,850.0,70.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Kottbusser Straße 25, Kreuzberg, Berlin",Wohnungstausch: Kottbusser Straße 25,890.0,90.0,3.0,0,0,0,0,0,0,0,0
friedrichsfelde,"Erieseering 38, Friedrichsfelde, Berlin",Wohnungstausch: Erieseering 38,600.0,55.0,2.0,0,0,0,0,1,0,0,0
neukölln,"Jonasstraße 32, Neukölln (Ortsteil), Berlin",Wohnungstausch: Jonasstraße 32,600.0,45.0,2.0,0,0,0,0,0,0,0,0
britz,"Fritz-Reuter-Allee 5, Britz, Berlin",Wohnungstausch: Fritz-Reuter-Allee 5,730.0,63.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Hausburgstraße 4, Friedrichshain, Berlin",Wohnungstausch: Hausburgstraße 4,600.0,32.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Kottbusser Damm 29, Kreuzberg, Berlin",Wohnungstausch: Kottbusser Damm 29,640.0,56.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Gabriel-Max-Straße 16, Friedrichshain, Berlin",Wunderschöne vollausgestattete 1 Zimmer Wohnung in Gründerzeit Altbau direkt am Boxhagener Platz.,1765.0,31.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Heubnerweg 9, Charlottenburg, Berlin",Wohnungstausch: Heubnerweg 9,1600.0,65.0,2.0,1,0,0,0,1,0,0,0
weißensee,"Friesickestraße 29, Weißensee, Berlin",Wohnungstausch: Friesickestraße 29,460.0,37.0,1.0,1,0,0,0,0,0,0,0
neu-hohenschönhausen,"Ribnitzer Straße 23, Neu-Hohenschönhausen, Berlin",Wohnungstausch: Ribnitzer Straße 23,840.0,85.0,3.0,0,0,0,0,0,0,0,0
moabit,"Beusselstraße 65, Moabit, Berlin",Wunderschöne vollmöblierte 2 Zimmer Wohnung in super Lage in der nähe der Spree.,2310.0,72.0,2.0,0,0,0,0,1,0,0,0
prenzlauer berg,"Ibsenstraße 16, Prenzlauer Berg, Berlin",Wunderschöne vollmöblierte 3 Zimmer Wohnung im schönen Prenzlauer Berg.,2635.0,72.0,3.0,1,0,0,0,0,0,0,0
tiergarten,"Schönegarten 0, Tiergarten, Berlin",Hochwertig ausgestattete 3 Zimmer Wohnung in direkter Umgebung des Potsdamer Platz & Nollendorfplatz,3675.0,90.0,3.0,1,1,0,0,1,0,0,0
mitte,"Chausseestraße 92, Mitte (Ortsteil), Berlin",Wunderschöne vollmöblierte 1 Zimmer Wohnung in super Lage in Mitte.,1985.0,43.0,1.0,0,0,0,0,1,0,0,0
steglitz,"Düppelstraße 28A, Steglitz, Berlin",Wunderschöne vollmöblierte Studio Wohnung direkt an der Schloßstraße.,1715.0,30.0,1.0,0,0,0,0,0,0,0,0
charlottenburg,"Nürnberger Str. 68, Charlottenburg, Berlin",Unglaublich gut gelegene und toll geschnittene 2 Zimmer Wohnung in direkter Umgebung des KaDeWe,2710.0,58.0,2.0,1,1,0,0,1,0,0,0
kreuzberg,"Dennewitzstraße 40, Kreuzberg, Berlin",Super gelegene 3 Zimmer Neubauwohnung mit toller Austattung direkt am Park am Gleisdreieck.,3165.0,76.0,3.0,1,1,0,0,1,0,0,0
mitte,"Rosenthaler Str. 44, Mitte (Ortsteil), Berlin",Attraktive 2 Zimmer Wohnung direkt am Hackeschen Markt. Hochwertig möbliert und ausgestattet,3510.0,62.0,2.0,0,1,0,0,1,0,0,0
tiergarten,"Lützowstrasse 111b, 111b, Tiergarten, Berlin",2 rooms apartment with Balcony in Mitte (Berlin),2856.0,68.0,2.0,1,1,0,0,1,0,0,0
kreuzberg,"Friedrichstraße 215, Kreuzberg, Berlin",Hochwertige 2 Zimmer Wohnung in super Lage in Mitte. Fußläufig zum Checkpoint Charlie.,3090.0,65.0,2.0,1,0,0,0,1,0,0,0
neukölln,"Rollbergstraße 1, Neukölln (Ortsteil), Berlin",Charmante 2 Zimmer Wohnung in Neukölln direkt im Schillerkiez in der  Nähe der Hasenheide,2160.0,61.0,2.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Erich-Weinert-Straße 16, Prenzlauer Berg, Berlin",2 rooms apartment with Terrace in Prenzlauer Berg (Berlin),2945.0,75.0,2.0,1,1,0,0,1,0,0,0
moabit,"Wiclefstraße 10, Moabit, Berlin",Wohnungstausch: Wiclefstraße 10,560.0,38.0,1.0,0,0,0,0,0,0,0,0
neukölln,"Hermannstraße 68, Neukölln (Ortsteil), Berlin",Wohnungstausch: Hermannstraße 68,710.0,63.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Treptower Straße 21, Neukölln (Ortsteil), Berlin",Wohnungstausch: Treptower Straße 21,730.0,50.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Onckenstraße 27, Neukölln (Ortsteil), Berlin",Wohnungstausch: Onckenstraße 27,420.0,30.0,1.0,1,0,0,0,1,0,0,0
kreuzberg,"Friedrichstrasse 31, Kreuzberg, Berlin",Frisch renoviertes Apartment an der Friedrichstraße,2600.0,50.0,2.0,0,1,0,0,0,0,0,0
steglitz,"Walsroder Straße c 22, Steglitz, Berlin",Wohnungstausch: Walsroder Straße 22c,600.0,48.0,2.0,0,0,0,0,0,0,0,0
mitte,"Seydelstraße 37, Mitte (Ortsteil), Berlin",Wohnungstausch: Seydelstraße 37,590.0,58.0,2.0,1,0,0,0,1,0,0,0
neukölln,"Richardstraße 10, Neukölln (Ortsteil), Berlin",Wohnungstausch: Richardstraße 10,700.0,51.0,1.5,0,0,0,0,0,0,0,0
prenzlauer berg,"Göhrener Straße 6, Prenzlauer Berg, Berlin",Wohnungstausch: Göhrener Straße 6,1150.0,60.0,2.0,0,0,0,0,0,0,0,0
köpenick,"Wendenschloßstraße a 131, Köpenick, Berlin",Wohnungstausch: Wendenschloßstraße 131a,800.0,58.0,2.0,1,0,0,0,1,0,0,0
prenzlauer berg,"Rodenbergstraße 14, Prenzlauer Berg, Berlin",Wohnungstausch: Rodenbergstraße 14,1000.0,87.0,3.0,0,0,0,0,0,0,0,0
friedrichshain,"Scharnweberstraße 37, Friedrichshain, Berlin",Wohnungstausch: Scharnweberstraße 37,930.0,60.0,2.0,0,0,0,0,0,0,0,0
hansaviertel,"Claudiusstraße 7, Hansaviertel, Berlin",Wohnungstausch: Claudiusstraße 7,960.0,70.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Lenbachstraße 17, Friedrichshain, Berlin",Wohnungstausch: Lenbachstraße 17,700.0,54.0,2.0,1,0,0,0,0,0,0,0
gropiusstadt,"Theodor-Loos-Weg 12, Gropiusstadt, Berlin",Wohnungstausch: Theodor-Loos-Weg 12,650.0,74.0,3.0,1,0,0,0,1,0,0,0
steglitz,"Leydenallee 98, Steglitz, Berlin",Möbliertes 2 Zimmer Apartment mit Balkon Nähe Rathaus Steglitz - Bezugsfrei ab sofort,1890.0,60.0,2.0,1,1,1,0,0,0,0,0
köpenick,"Henriette-Lustig-Straße 21, Köpenick, Berlin","Neubau Single-Apartments - direkt an der Spree mit Balkon, Aufzug und EBK",610.63,22.85,1.0,1,1,1,0,0,0,0,0
charlottenburg,"Charlottenburg, Berlin",Fasanen.68 - Möbliertes wohnen auf Zeit,8800.0,210.0,5.0,0,1,0,0,1,0,1,0
pankow,"Berlinerstrasse 20 a, Pankow (Ortsteil), Berlin",Neubau Projekt B20 Ansprechende 2-Raum-Wohnung mit EBK 100m von Bhf  Berlin Pankow/Prenzlauer Berg,1568.0,50.0,2.0,1,1,1,0,0,0,0,0
wilmersdorf,"Wilmersdorf, Berlin","schöne, helle und 1-Zimmerwohnung direkt am Kurfürstendamm",1411.0,37.7,1.0,0,0,0,0,0,0,0,0
mitte,"Mitte (Ortsteil), Berlin",Kremmener.11 - Möbliertes wohnen auf Zeit,4900.0,100.0,3.0,1,1,0,0,0,0,1,0
hakenfelde,"Pepitapromenade 25, Hakenfelde, Berlin",2-Zimmer-Wohnung in Spandau mit großer Terrasse,1590.0,93.08,2.0,1,0,0,0,1,0,0,0
pankow,"Berlinerstrasse 20a, Pankow (Ortsteil), Berlin",Hoch Moderne! 3-Raum-Wohnung mit EBK und Balkon in Berlin S-UBhf Pankow/Prenzlauer Berg,2387.0,77.0,3.0,1,1,1,0,0,0,0,0
mitte,"Rosenthaler Str. 44, Mitte (Ortsteil), Berlin",Exclusive 2 Zimmer Wohnung mit wunderschönen Möbeln und hochwertiger Austattung direkt am Hackeschen,3290.0,55.0,2.0,0,1,0,0,1,0,0,0
grunewald,"Grunewald, Berlin",Exclusive flat in Berlin Grunewald for 2 persons,4100.0,180.0,4.0,1,0,1,1,0,0,0,0
mariendorf,"Kurfürstenstraße 44, Mariendorf, Berlin",Schön ausgestattete 3 Zimmer Wohnung in direkter Umgebung des Potsdamer Platz & Nollendorfplatz,2975.0,71.0,3.0,1,1,0,0,1,0,0,0
charlottenburg,"Roscherstr. 5, Charlottenburg, Berlin",Möbliertes 2 Zimmer City-Apartment am Kurfürstendamm - Bezugsfrei ab sofort,1890.0,55.0,2.0,0,1,0,0,0,0,0,0
pankow,"Berlinerstrasse 20 a, Pankow (Ortsteil), Berlin",Hoch Moderne! 4-Raum-Wohnung mit EBK und 2-3 Balkone in Berlin S-U-Bhf. Pankow/ nahe Prenzlauer Berg,2868.0,100.0,4.0,1,1,1,0,0,0,0,0
heinersdorf,"Prenzlauer Promenade 49 G, Heinersdorf, Berlin",Sonniger Wohntraum: Moderne 3-Zimmer-Wohnung mit Süd-Balkon & 10 Minuten vom Alexanderplatz entfernt,2015.0,84.38,3.0,1,0,1,0,1,0,0,0
friedenau,"Schmiljanstraße 6, Friedenau, Berlin",Wohnungstausch: Schmiljanstraße 6,1080.0,90.0,3.0,1,0,0,0,0,0,0,0
zehlendorf,"Ebersteinweg 3, Zehlendorf, Berlin",Wohnungstausch: Ebersteinweg 3,910.0,89.0,3.0,0,0,0,0,0,0,0,0
prenzlauer berg,"Malmöer Straße 21, Prenzlauer Berg, Berlin",Wohnungstausch: Malmöer Straße 21,1110.0,66.0,2.0,1,0,0,0,0,0,0,0
prenzlauer berg,"Rykestraße 44, Prenzlauer Berg, Berlin",Wohnungstausch: Rykestraße 44,1270.0,69.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Rigaer Straße 18, Friedrichshain, Berlin",Wohnungstausch: Rigaer Straße 18,950.0,50.0,2.0,1,0,0,0,1,0,0,0
kreuzberg,"Ritterstraße 65, Kreuzberg, Berlin","3-Zimmerwhg. WBS Pflicht öffentliche Besichtigung am 01.März 2023, 14:30 Uhr- 15:30 Uhr",937.47,85.39,3.0,1,1,1,0,0,0,0,0
köpenick,"Wendenschloßstraße 177, Köpenick, Berlin",Wohnungstausch: Wendenschloßstraße 177,530.0,34.0,1.0,0,0,0,0,0,0,0,0
wilmersdorf,"Detmolder Straße 21, Wilmersdorf, Berlin",Wohnungstausch: Detmolder Straße 21,1920.0,120.0,4.0,0,0,0,0,0,0,0,0
kreuzberg,"Lindenstraße 75, Kreuzberg, Berlin",Wohnungstausch: Lindenstraße 75,1740.0,90.0,4.0,1,0,0,0,1,0,0,0
tiergarten,"Tiergarten, Berlin",Vollmöblierte Penthousewohnung mit großer Dachterrasse im ´´High Park´´,4729.0,142.0,3.0,0,1,0,0,1,0,1,0
moabit,"Waldenserstraße 22, Moabit, Berlin",Wohnungstausch: Waldenserstraße 22,700.0,65.0,2.0,0,0,0,0,0,0,0,0
neukölln,"Biebricher Straße 3, Neukölln (Ortsteil), Berlin",Wohnungstausch: Biebricher Straße 3,780.0,65.0,2.0,0,0,0,0,0,0,0,0
karlshorst,"Tannhäuserstraße 104, Karlshorst, Berlin",Wohnungstausch: Tannhäuserstraße 104,550.0,54.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Straßmannstraße 33, Friedrichshain, Berlin",Wohnungstausch: Straßmannstraße 33,900.0,55.0,2.0,0,0,0,0,0,0,0,0
kreuzberg,"Alexandrinenstraße 117, Kreuzberg, Berlin",Wohnungstausch: Alexandrinenstraße 117,1200.0,58.0,2.0,1,0,0,0,1,0,0,0
prenzlauer berg,"Metzer Straße 23, Prenzlauer Berg, Berlin",Wohnungstausch: Metzer Straße 23,510.0,42.0,2.0,0,0,0,0,0,0,0,0
pankow,"Binzstraße 62, Pankow (Ortsteil), Berlin",Wohnungstausch: Binzstraße 62,750.0,66.0,3.0,1,0,0,0,0,0,0,0
moabit,"Sickingenstraße 1, Moabit, Berlin",Wohnungstausch: Sickingenstraße 1,740.0,60.0,2.0,1,0,0,0,1,0,0,0
marzahn,"Luise-Zietz-Straße 119, Marzahn, Berlin",Wohnungstausch: Luise-Zietz-Straße 119,320.0,29.0,1.0,0,0,0,0,0,0,0,0
