district,address,description,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
prenzlauer berg,"Pappelallee 27, Prenzlauer Berg, Berlin",Wohnungstausch: Pappelallee 27,1060.0,50.0,2.0,1,0,0,0,0,0,0,0
moabit,"Huttenstraße 30, Moabit, Berlin",Wohnungstausch: Huttenstraße 30,710.0,58.0,2.0,1,0,0,0,0,0,0,0
hakenfelde,"Pembabogen 25, Hakenfelde, Berlin",WUNDERSCHÖNE PENTHOUSE-WOHNUNG MIT DACHTERRASSE UND BLICK AUF DIE HAVEL! ERSTBEZUG! EFFIZIENZHAUS 55,3078.5,131.0,4.0,1,0,0,0,0,0,1,0
friedenau,"Friedenau, Berlin",Wunderschöne sanierte 3 Zimmerwohnung - mit Stellplatz,2350.0,87.0,3.0,1,1,0,0,0,0,0,0
schöneberg,"Hauptstraße 151, Schöneberg, Berlin",Furnished 4 rooms apartment with Office in Charlottenburg  (Berlin),3667.0,92.0,4.0,0,1,0,0,1,0,0,0
köpenick,"Köpenick, Berlin",Elegante DG-Wohnung mit großer Dachterrasse,3501.0,145.8,4.0,1,0,1,0,0,0,0,0
moabit,"Perleberger Straße 32, Moabit, Berlin",Wohnungstausch: Perleberger Straße 32,590.0,44.0,2.0,1,0,0,0,0,0,0,0
reinickendorf,"Werftendensteig 4a, Reinickendorf (Ortsteil), Berlin",2 Zimmer DG Wohnung im 3. OG sofort zu beziehen,1770.05,90.78,2.0,1,0,1,0,0,0,0,0
hellersdorf,"Louis-Lewin-Straße 11, Hellersdorf, Berlin",Wohnungstausch: Louis-Lewin-Straße 11,730.0,61.0,3.0,1,0,0,0,0,0,0,0
pankow,"Hallandstraße 63, Pankow (Ortsteil), Berlin",Wohnungstausch: Hallandstraße 63,600.0,65.0,2.0,1,0,0,0,0,0,0,0
prenzlauer berg,"Schliemannstraße 34, Prenzlauer Berg, Berlin",Wohnungstausch: Schliemannstraße 34,1030.0,80.0,2.0,1,0,0,0,1,0,0,0
